Replicate1_CtrlV	Replicate2_DAPT	Replicate3_CtrlV	Replicate4_CtrlV	Replicate4_DAPT	Replicate4_LY411575	Replicate5_CtrlV	Replicate5_DAPT	Replicate5_LY411575	Replicate6_CtrlV	Replicate6_DAPT	Replicate6_LY411575
A1BG	7.32759789680728	7.68228897733853	7.88717729901223	5.45913673872233	5.50710444741627	5.46514337197612	6.22124503086772	7.30640006661053	8.7068717715323	6.78083675742322	6.58253899092335	6.53526727867396
ADA	2.53233162610251	2.35859749304253	1.98732026431804	1.91548657499029	1.87889445853026	2.60645299278861	1.55531125771693	2.0246650786993	1.87989276885357	1.93738193069235	2.19417966364112	1.79048418593807
CDH2	230.118901597529	227.503575328902	210.345429226413	201.413413360229	217.627809869073	221.96890003103	217.652087182858	214.1743537598	222.717822246809	210.82237918534	217.399321073562	235.985815706638
AKT3	242.13400697244	234.57936780803	247.172957874556	246.61889653	244.968963713893	229.451942494198	243.451956281456	238.030190121866	234.788712657343	251.859650990005	234.864991196145	243.14775245039
RNA5-8SN5	0.323276377800321	0.202165499403646	0.372622549559633	5.65068539622136	6.34936748055052	4.45619382638053	3.84253369553595	4.7535614891201	5.44179485720769	3.78670104635323	4.47612651382788	5.1924041392204
ZBTB11-AS1	4.47198989290444	5.39107998409721	4.1609518034159	3.83097314998058	3.95215730932226	4.03579818238237	3.56806700299767	3.08101207628155	3.95766898706014	4.05088949144764	3.94952339455401	3.93906520906375
MED6	27.5862509056274	28.0336159173055	28.2572100082722	31.5097541585903	31.2285216900546	30.7729611406656	29.9168694866727	30.8101207628155	32.2550022445401	29.3249174054797	27.2955950156955	29.8115616958689
NAALAD2	21.3362409348212	21.6317084361901	24.9036070622355	24.8055511461243	21.8340493974033	22.8695230335001	28.0870915364175	22.5354026150879	26.2195570392734	31.262299336172	24.4870450462349	26.2305933239927
DDT	13.9547636417139	13.6124769598455	13.6007230589266	12.7379857236854	12.6339454970138	13.8730562519394	12.625467856761	13.9965977179647	13.752899730034	13.297485069752	11.5852686240251	12.6229135108634
NINJ2-AS1	1.29310551120128	0.606496498210937	0.745245099119266	0.861968958745631	1.10142088948325	0.756712159196694	1.28084456517865	0.704231331721497	0.197883449353007	0.528376890188823	1.05320623854774	0.716193674375228
