"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"diffexpressed"
"LDHA"	-0.726077390967536	7.55617010966771	177.080075801115	7.03790304210197e-11	8.18789833163075e-07	"Downregulated"
"HMGCR"	0.635264721640533	8.7199149102368	166.967807643573	1.14966278175102e-10	8.18789833163075e-07	"Upregulated"
"HMGCS1"	0.738316921230658	8.44807127247673	148.391727786077	3.05122747493975e-10	1.02136279170884e-06	"Upregulated"
"DHCR24"	1.02828845877575	8.46429179452816	146.893682806104	3.31670144948456e-10	1.02136279170884e-06	"Upregulated"
"SCD"	1.06493046363426	8.37111392121742	145.154507129579	3.65752424849567e-10	1.02136279170884e-06	"Upregulated"
"FOS"	-2.89010622184947	3.69653374671333	142.308301948556	4.30228640146944e-10	1.02136279170884e-06	"Downregulated"
"VGF"	-1.44514652187213	4.63418553359344	136.935567503228	5.89250671117956e-10	1.11152270738056e-06	"Downregulated"
"TMEM97"	1.18146110210915	4.72307775680424	222.214188885082	6.24275600887707e-10	1.11152270738056e-06	"Upregulated"
"FDFT1"	0.739609094853772	7.22885553237856	116.881001776053	2.11833222616618e-09	3.352613803279e-06	"Upregulated"
"LSS"	0.582912939213211	7.6092603840346	114.159224943422	2.5571271864238e-09	3.64237196434205e-06	"Upregulated"
"DHCR7"	0.810793930143615	6.23301277349285	107.736519323216	4.0513417693867e-09	5.24611928755856e-06	"Upregulated"
"ACAT2"	0.578899040204948	6.871808442301	90.9373458108114	1.52503289336333e-08	1.81021404442227e-05	"Upregulated"
"MSMO1"	0.667591434643845	6.9191825827368	84.588798168097	2.65758372596141e-08	2.91189404558418e-05	"Upregulated"
"INSIG1"	0.832181567802094	6.5317204248143	82.8847124814269	3.10311491397048e-08	3.15719777389968e-05	"Upregulated"
"MVD"	0.646755575811284	6.01772541049419	79.3804226798335	4.30424720253628e-08	4.08731314352846e-05	"Upregulated"
"SQLE"	0.493100221132752	7.05830012914038	73.7407949380721	7.4781839200818e-08	6.65745323485283e-05	"Upregulated"
"DUSP4"	-0.499642204081223	6.5723739271326	63.8935909507144	2.14197108009086e-07	0.000175495700601291	"Downregulated"
"FADS2"	0.403421619809861	8.01996872800286	63.5872769694912	2.21772157457402e-07	0.000175495700601291	"Upregulated"
"FDPS"	0.545087081279263	6.83662565124865	61.5393320757496	2.80748126836246e-07	0.000210472437823973	"Upregulated"
"IDH1"	0.448004206201277	7.41174015464023	60.5954396902293	3.13631672677783e-07	0.000221547297456021	"Upregulated"
"LDLR"	0.844297600190883	5.24185311267654	60.2522723733666	3.26628281843333e-07	0.000221547297456021	"Upregulated"
"ENO1"	-0.345595002799091	9.383986059884	58.7162005704786	3.92607473299871e-07	0.000254195493167425	"Downregulated"
"SREBF2"	0.397484023704601	8.51865465510584	55.7753788086965	5.64375024963581e-07	0.000343399344131124	"Upregulated"
"ACACA"	0.269928340670196	8.0736861454967	64.3673225591161	5.78600411341406e-07	0.000343399344131124	"Upregulated"
"C1QL3"	0.526878380994737	6.15676834432123	62.6820088893288	9.44639447934371e-07	0.000538217771855087	"Upregulated"
"IDI1"	0.41004496558375	6.80033462131124	67.812569980185	1.4259021342144e-06	0.00078117499999038	"Upregulated"
"STUM"	-0.526112025561991	6.29614014851972	47.8216288590904	1.62964556102048e-06	0.000859728569302805	"Downregulated"
"SV2C"	-0.515712226868041	7.49225499709115	46.4549863445452	1.98104123941191e-06	0.00100778397907797	"Downregulated"
"PTPRN"	-0.300478010382612	7.61006451332651	45.5810022590769	2.24952214518125e-06	0.00110041166260534	"Downregulated"
"EGR1"	-1.85603533816612	2.96725392334999	51.3894017657011	2.3176319768436e-06	0.00110041166260534	"Downregulated"
"ABCG1"	-0.480820073598872	6.19048078279192	71.1112354220554	2.48330414653916e-06	0.00114103820204206	"Downregulated"
"GNG4"	-0.500395294045133	8.55603438355604	44.690526692616	2.56525106363217e-06	0.00114185737969927	"Downregulated"
"SLC6A17"	-0.351434605699832	7.06696664661956	46.381488520255	3.02567846682827e-06	0.0013059928509546	"Downregulated"
"ALDOC"	-0.426366476127822	7.45687337481091	43.2864927499233	3.16786245210173e-06	0.0013271480225805	"Downregulated"
"SHC3"	-0.524373714736634	6.39651014079913	42.4333891447631	3.60992385715116e-06	0.00146913586917889	"Downregulated"
"PEG10"	-0.260969680705812	11.4088967979141	41.6794130016508	4.05810164771256e-06	0.00160565555194494	"Downregulated"
"ACLY"	0.214806065835739	9.4151477755266	40.0774395576802	5.23028152288912e-06	0.00201351702735223	"No change"
"THBS1"	1.16089925844911	3.86723225747337	58.1304945242787	8.68268670094056e-06	0.00325463656232098	"Upregulated"
"CAMK2N1"	-0.234056952921004	8.51469593771397	36.5016874691606	9.46604058979002e-06	0.00340970647683076	"No change"
"CYP51A1"	0.296953425916361	7.45699586399291	42.8908754862068	9.57513753673339e-06	0.00340970647683076	"Upregulated"
"HK2"	-3.30235515775837	2.23055718897775	35.5115481586512	1.12352204784077e-05	0.00390328001205949	"Downregulated"
"TPI1"	-0.265506668895038	8.47961073829456	34.5464640359114	1.33194397034471e-05	0.00451351952719464	"Downregulated"
"LPCAT1"	0.31263291600774	7.26204060926569	60.6802612394929	1.36254801789785e-05	0.00451351952719464	"Upregulated"
"SLC16A3"	-2.58927136036373	2.26330989781272	34.2042132499486	1.41589363699648e-05	0.00453018253313917	"Downregulated"
"PKM"	-0.212501894271995	9.45498783060066	34.1050910007341	1.44129177719768e-05	0.00453018253313917	"No change"
"SPRED3"	-0.619153199982854	5.25363842869564	64.6801011473065	1.46299070853975e-05	0.00453018253313917	"Downregulated"
"PANK3"	0.182355804994949	8.70685836000663	31.1124820839624	2.50771594554039e-05	0.00759997998473984	"No change"
"GPI"	-0.196505716791419	8.84954670659573	30.9001383722162	2.61165534055934e-05	0.00775008722310983	"No change"
"QKI"	-0.294517454259492	7.74292456897438	30.4989742729329	2.82133138236522e-05	0.00820143759396125	"Downregulated"
"SLC22A17"	-0.225862983495982	8.21882765474267	30.1426063007296	3.02335214126746e-05	0.00854588186765351	"No change"
"SNAP25"	-0.224051728790318	8.79572994968961	30.081107573	3.05981448504865e-05	0.00854588186765351	"No change"
"TYRO3"	-0.487687323828544	5.79099910441726	100.612039277036	3.48307249197038e-05	0.00954093934146655	"Downregulated"
"VSNL1"	-0.455218364916445	5.97620726086698	35.536753181889	3.87311196248389e-05	0.0104091710931359	"Downregulated"
"PRPH"	0.51604541014823	6.84556586979087	28.7803060747229	3.95788807257098e-05	0.0104400292047594	"Upregulated"
"GPR153"	-0.298005030699493	7.16039544193856	32.8315819739775	4.26979938050971e-05	0.0110580040683601	"Downregulated"
"KCNN1"	-0.642371550204559	5.0348505282496	27.6449157200626	4.98523144205812e-05	0.012680292260835	"Downregulated"
"NSDHL"	0.604250253147224	5.2475439647064	73.6123691546498	5.50023197387738e-05	0.0137447902168262	"Upregulated"
"REM2"	-0.846239110245434	4.21544411434678	46.2404693928151	5.93941441210837e-05	0.0145863825665641	"Downregulated"
"SOX4"	0.216151463446491	8.05815626857993	26.8085992478096	6.55073476915193e-05	0.0156864221542812	"No change"
"CHGB"	-0.253984052286534	8.0635726845305	26.2974620321845	6.60759147189603e-05	0.0156864221542812	"Downregulated"
"ENC1"	-0.177255218454656	8.64126853343943	25.5924622934499	7.68450468975965e-05	0.0179423886460086	"No change"
"NES"	0.323225905055836	6.89953822476579	29.470895557989	7.80980129214079e-05	0.0179423886460086	"Upregulated"
"DLG4"	-0.218556506415523	7.88142128054826	33.1193950873434	0.00011440888913018	0.0258673050280997	"No change"
"JUN"	0.391251763911405	6.91473592589971	23.4414089530497	0.000123810120825973	0.0275554900163307	"Upregulated"
"B4GALT5"	0.229379160658044	7.76957162102005	46.6479020567978	0.000129248962500232	0.0283234187977432	"No change"
"SLC12A5"	-0.308278118867468	6.85918656433244	45.2904720238477	0.000135899277403878	0.0293295349597098	"Downregulated"
"TUNAR"	-0.374705172447334	6.2981610772616	42.9749894507911	0.00014153077114657	0.0296793334677771	"Downregulated"
"ARHGAP36"	-0.90710199427608	4.30807671773119	22.8535276104435	0.000141687354381413	0.0296793334677771	"Downregulated"
"NR4A1"	-1.22859373005877	3.17669226484282	41.3723285092259	0.000147783745552378	0.0305077053862039	"Downregulated"
"BAIAP3"	-0.387448549729553	6.18793295469811	31.9714894178853	0.000153226667417455	0.0307189856972242	"Downregulated"
"ELAVL2"	0.184720810135228	8.49353291796811	22.4712969038203	0.000154843424947704	0.0307189856972242	"No change"
"RNF145"	0.251150386431359	7.47937317653559	44.6108137914545	0.000155277097037359	0.0307189856972242	"Upregulated"
"HNRNPA1"	0.183411650493784	8.95753004904256	21.6322244575378	0.00018875811562394	0.0368311040951698	"No change"
"CPE"	-0.133995974113765	9.44040649278156	21.0838526083842	0.000215359277463227	0.0414537506511649	"No change"
"TROAP-AS1"	0.582866669837398	5.82288560616691	20.8662442451027	0.000227049629078896	0.0431212655546639	"Upregulated"
"FASN"	0.372955461294444	8.65810040492319	20.5883560640594	0.000243016635460685	0.0450941664782168	"Upregulated"
"STMN4"	0.260914101286461	8.66357455299191	20.575760641178	0.00024376936386006	0.0450941664782168	"Upregulated"
